game_info,year,date,away_team,home_team,away_team_runs,away_team_hits,away_team_errors,home_team_runs,home_team_hits,home_team_errors,venue,n_venue,team,latitude,longitude,elevation
OHIO VALLEY TOURNAMENT ,2017,4,4,4,4,4,4,4,4,4,4,0,3,0,0,0
OHIO VALLEY TOURNAMENT ,2018,7,7,7,7,7,7,7,7,7,7,0,4,0,0,0
Ohio State vs Michigan,2021,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
Ohio Valley Championship,2021,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0
Ohio Valley Championship,2022,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
Ohio Valley Tournament,2021,5,5,5,5,5,5,5,5,5,5,0,3,0,0,0
Ohio Valley Tournament,2022,9,9,9,9,9,9,9,9,9,9,0,6,0,0,0
Oklahoma State vs Kansas,2021,3,3,3,3,3,3,3,3,3,3,0,3,0,0,0
Oklahoma vs Oklahoma State,2021,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
Oklahoma vs West Virginia,2021,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
PATRIOT LEAGUE CHAMPIONSHIP,2019,3,3,3,3,3,3,3,3,3,3,0,1,0,0,0
PATRIOT LEAGUE CHAMPIONSHIP ,2016,3,3,3,3,3,3,3,3,3,3,0,1,0,0,0
PATRIOT LEAGUE CHAMPIONSHIP ,2017,2,2,2,2,2,2,2,2,2,2,0,2,0,0,0
PATRIOT LEAGUE CHAMPIONSHIP ,2018,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0
PATRIOT LEAGUE TOURNAMENT,2019,4,4,4,4,4,4,4,4,4,4,0,2,0,0,0
PATRIOT LEAGUE TOURNAMENT ,2016,6,6,6,6,6,6,6,6,6,6,0,3,0,0,0
PATRIOT LEAGUE TOURNAMENT ,2017,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0
PATRIOT LEAGUE TOURNAMENT ,2018,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0
PATRIOT LEAGUE TOURNAMENT - IF NECESSARY,2019,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
PATRIOT LEAGUE TOURNAMENT - IF NECESSARY ,2018,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0
Pac-12 Championship,2022,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
Pac-12 Tournament,2022,13,13,13,13,13,13,13,13,13,13,0,13,0,0,0
Patriot League Championship,2021,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0
Patriot League Championship,2022,3,3,3,3,3,3,3,3,3,3,0,3,0,0,0
Patriot League Championship If Necessary,2021,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Patriot League Tournament,2021,6,6,6,6,6,6,6,6,6,6,0,3,0,0,0
Patriot League Tournament,2022,4,4,4,4,4,4,4,4,4,4,0,4,0,0,0
Penn State vs VMI,2022,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
Prairie View A&M vs Baylor,2021,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
Round Rock Classic,2021,5,5,5,5,5,5,5,5,5,5,0,5,0,0,0
Round Rock Classic,2022,6,6,6,6,6,6,6,6,6,6,0,6,0,0,0
Rutgers vs Houston Baptist,2022,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0
Rutgers vs Richmond,2022,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
